SourceRepoName,SourceLink,ProjectName,VerControlToolName,BugsTrackerLink,BugsTrackerToolName
GitHub,https://github.com/Thinkful-Ed/Instagram-Search-by-Hashtag.git,Instagram-Search-by-Hashtag,Git,https://github.com/Thinkful-Ed/Instagram-Search-by-Hashtag/issues,Git
GitHub,https://github.com/sarah-j-smith/Cocos2DInSwift.git,Cocos2DInSwift,Git,https://github.com/sarah-j-smith/Cocos2DInSwift/issues,Git
GitHub,https://github.com/dgon-jd/JDSplitViewController.git,JDSplitViewController,Git,https://github.com/dgon-jd/JDSplitViewController/issues,Git
GitHub,https://github.com/kivlara/iOSOpenDev-root-app.git,iOSOpenDev-root-app,Git,https://github.com/kivlara/iOSOpenDev-root-app/issues,Git
GitHub,https://github.com/Rannie/HRTableCollectionBindingHelper.git,HRTableCollectionBindingHelper,Git,https://github.com/Rannie/HRTableCollectionBindingHelper/issues,Git
GitHub,https://github.com/kevindelord/UIImage-Autoresize.git,UIImage-Autoresize,Git,https://github.com/kevindelord/UIImage-Autoresize/issues,Git
GitHub,https://github.com/shinrenpan/Script-Monkey.git,Script-Monkey,Git,https://github.com/shinrenpan/Script-Monkey/issues,Git
GitHub,https://github.com/Airmail/Mailchimp-AMPlug.git,Mailchimp-AMPlug,Git,https://github.com/Airmail/Mailchimp-AMPlug/issues,Git
GitHub,https://github.com/udayasri/fraud-video-analyzer.git,fraud-video-analyzer,Git,https://github.com/udayasri/fraud-video-analyzer/issues,Git
GitHub,https://github.com/lihei12345/KPController.git,KPController,Git,https://github.com/lihei12345/KPController/issues,Git
GitHub,https://github.com/07cs07/Ottran.git,Ottran,Git,https://github.com/07cs07/Ottran/issues,Git
GitHub,https://github.com/sapanbhuta/HackWatch.git,HackWatch,Git,https://github.com/sapanbhuta/HackWatch/issues,Git
GitHub,https://github.com/phillipou94/PhillipOuFashionProject.git,PhillipOuFashionProject,Git,https://github.com/phillipou94/PhillipOuFashionProject/issues,Git
GitHub,https://github.com/jdkizer9/WeAreHere.git,WeAreHere,Git,https://github.com/jdkizer9/WeAreHere/issues,Git
GitHub,https://github.com/paulw11/BTBackground.git,BTBackground,Git,https://github.com/paulw11/BTBackground/issues,Git
GitHub,https://github.com/lintmachine/LMCircularScrollingFlowLayout.git,LMCircularScrollingFlowLayout,Git,https://github.com/lintmachine/LMCircularScrollingFlowLayout/issues,Git
GitHub,https://github.com/iosweekend-samples/AdaptAppFor6.git,AdaptAppFor6,Git,https://github.com/iosweekend-samples/AdaptAppFor6/issues,Git
GitHub,https://github.com/imanzarrabian/Formation.git,Formation,Git,https://github.com/imanzarrabian/Formation/issues,Git
GitHub,https://github.com/viezel/NappWaveformView.git,NappWaveformView,Git,https://github.com/viezel/NappWaveformView/issues,Git
GitHub,https://github.com/niw/safari_hack.git,safari_hack,Git,https://github.com/niw/safari_hack/issues,Git
GitHub,https://github.com/rad3ks/RSZInAppNotifications.git,RSZInAppNotifications,Git,https://github.com/rad3ks/RSZInAppNotifications/issues,Git
GitHub,https://github.com/lzbob/TestRailiOSClient.git,TestRailiOSClient,Git,https://github.com/lzbob/TestRailiOSClient/issues,Git
GitHub,https://github.com/edwinbosire/Tinder-Hack-Client.git,Tinder-Hack-Client,Git,https://github.com/edwinbosire/Tinder-Hack-Client/issues,Git
GitHub,https://github.com/kpham13/SwapMeet.git,SwapMeet,Git,https://github.com/kpham13/SwapMeet/issues,Git
GitHub,https://github.com/ziyuanliu/nyzr.git,nyzr,Git,https://github.com/ziyuanliu/nyzr/issues,Git
GitHub,https://github.com/wuyuedefeng/NSDictionary-Model-Interconversion.git,NSDictionary-Model-Interconversion,Git,https://github.com/wuyuedefeng/NSDictionary-Model-Interconversion/issues,Git
GitHub,https://github.com/mrdrozdov/SlideInView.git,SlideInView,Git,https://github.com/mrdrozdov/SlideInView/issues,Git
GitHub,https://github.com/bczhang/jaeger-iOS-iPad.git,jaeger-iOS-iPad,Git,https://github.com/bczhang/jaeger-iOS-iPad/issues,Git
GitHub,https://github.com/afbrandt/ABConnectivity.git,ABConnectivity,Git,https://github.com/afbrandt/ABConnectivity/issues,Git
GitHub,https://github.com/YixiangChen/EHomeEducationApp.git,EHomeEducationApp,Git,https://github.com/YixiangChen/EHomeEducationApp/issues,Git
GitHub,https://github.com/YilmazGursoy/StickHeroCloneGame.git,StickHeroCloneGame,Git,https://github.com/YilmazGursoy/StickHeroCloneGame/issues,Git
GitHub,https://github.com/PFei-He/PFTableViewCell-Static_Library.git,PFTableViewCell-Static_Library,Git,https://github.com/PFei-He/PFTableViewCell-Static_Library/issues,Git
GitHub,https://github.com/onevcat/LandscapeViewControllerDemo.git,LandscapeViewControllerDemo,Git,https://github.com/onevcat/LandscapeViewControllerDemo/issues,Git
GitHub,https://github.com/fuermosi777/xunwei-ios-app.git,xunwei-ios-app,Git,https://github.com/fuermosi777/xunwei-ios-app/issues,Git
GitHub,https://github.com/boredzo/Parallel-copy-and-verify.git,Parallel-copy-and-verify,Git,https://github.com/boredzo/Parallel-copy-and-verify/issues,Git
GitHub,https://github.com/gerryisaac/iPhone-CTA-Bus-Tracker-App.git,iPhone-CTA-Bus-Tracker-App,Git,https://github.com/gerryisaac/iPhone-CTA-Bus-Tracker-App/issues,Git
GitHub,https://github.com/davidchiles/XMPPCapabilities.git,XMPPCapabilities,Git,https://github.com/davidchiles/XMPPCapabilities/issues,Git
GitHub,https://github.com/domuro/Blueberry.git,Blueberry,Git,https://github.com/domuro/Blueberry/issues,Git
GitHub,https://github.com/kunzmainali/ColorCognition.git,ColorCognition,Git,https://github.com/kunzmainali/ColorCognition/issues,Git
GitHub,https://github.com/oscii/OS-X-Display-Arrangement-Saver.git,OS-X-Display-Arrangement-Saver,Git,https://github.com/oscii/OS-X-Display-Arrangement-Saver/issues,Git
GitHub,https://github.com/mootjeuh/Prettier-Banners.git,Prettier-Banners,Git,https://github.com/mootjeuh/Prettier-Banners/issues,Git
GitHub,https://github.com/pm-ping/objc-openidconnect-library.git,objc-openidconnect-library,Git,https://github.com/pm-ping/objc-openidconnect-library/issues,Git
GitHub,https://github.com/tjwudi/Assetee.git,Assetee,Git,https://github.com/tjwudi/Assetee/issues,Git
GitHub,https://github.com/mikeooye/BPLoadingMoreControl.git,BPLoadingMoreControl,Git,https://github.com/mikeooye/BPLoadingMoreControl/issues,Git
GitHub,https://github.com/shiweifu/SFTagView.git,SFTagView,Git,https://github.com/shiweifu/SFTagView/issues,Git
GitHub,https://github.com/ayatr/AYTAlert.git,AYTAlert,Git,https://github.com/ayatr/AYTAlert/issues,Git
GitHub,https://github.com/hyperoslo/HYPPopoverBackgroundView.git,HYPPopoverBackgroundView,Git,https://github.com/hyperoslo/HYPPopoverBackgroundView/issues,Git
GitHub,https://github.com/zeasy/XCodeUnusedImageClear.git,XCodeUnusedImageClear,Git,https://github.com/zeasy/XCodeUnusedImageClear/issues,Git
GitHub,https://github.com/impekable/starbucks-watchkit.git,starbucks-watchkit,Git,https://github.com/impekable/starbucks-watchkit/issues,Git
GitHub,https://github.com/istepanov/ISAlertView.git,ISAlertView,Git,https://github.com/istepanov/ISAlertView/issues,Git
GitHub,https://github.com/leonardoobaptistaa/FeedbackMe.git,FeedbackMe,Git,https://github.com/leonardoobaptistaa/FeedbackMe/issues,Git
GitHub,https://github.com/dougdiego/DDLicenseViewController.git,DDLicenseViewController,Git,https://github.com/dougdiego/DDLicenseViewController/issues,Git
GitHub,https://github.com/glekli/InstaLogin.git,InstaLogin,Git,https://github.com/glekli/InstaLogin/issues,Git
